"CODE","DISTRICT"
"АК","КРИМ"
"АВ","ВІННИЦЬКА"
"АС","ВОЛИНСЬКА"
"АЕ","ДНІПРОПЕТРОВСЬКА"
"АН","ДОНЕЦЬКА"
"АМ","ЖИТОМИРСЬКА"
"АО","ЗАКАРПАТСЬКА"
"АР","ЗАПОРІЗЬКА"
"АТ","ІВАНО-ФРАНКІВСЬКА"
"АІ","КИЇВСЬКА"
"АА","КИЇВ"
"ВА","КІРОВОГРАДСЬКА"
"ВВ","ЛУГАНСЬКА"
"ВС","ЛЬВІВСЬКА"
"ВЕ","МИКОЛАЇВСЬКА"
"ВН","ОДЕСЬКА"
"ВІ","ПОЛТАВСЬКА"
"ВК","РІВНЕНСЬКА"
"ВМ","СУМСЬКА"
"ВО","ТЕРНОПІЛЬСЬКА"
"АХ","ХАРКІВСЬКА"
"ВТ","ХЕРСОНСЬКА"
"ВХ","ХМЕЛЬНИЦЬКА"
"СА","ЧЕРКАСЬКА"
"СВ","ЧЕРНІГІВСЬКА"
"СЕ","ЧЕРНІВЕЦЬКА"
"СН","СЕВАСТОПОЛЬ"
